Company Name,Key ID,Address Line 1,City,Phone,URL,Revenue (As Reported),Employees,Match Status,CRM Company Name,CRM Group ID,CRM Company ID
Porcellan Company Llc,122048026,Po Box 74684,Abu Dhabi,26576418,,,4000.0,,,,
National Ready Mix Concrete Co.,43762999,PO Box 568,Abu Dhabi,971-02 6323227,http://www.lootahgroup.com,28131199000.0,4000.0,,,,
Code Contracting Company - L Lc,121848623,Po Box 25224,Abu Dhabi,24464616,,,4000.0,,,,
Gibca Trading & Contracting Company - W L L,123229938,Po Box 2570,Abu Dhabi,26260222,,,4000.0,,,,
Belhasa Six Construct Company Llc,121848029,Po Box 226,Abu Dhabi,6715400,,,4000.0,,,,
International Mechanical & Electrical Company W L L,123229952,Po Box 46527,Abu Dhabi,26444700,,,4000.0,,,,
NMC Group,120011440,Street 5 Warehouse 120,Abu Dhabi,971-26734300,http://www.nmc.ae,,4000.0,,,,
Al Noor Hospitals Group PLC,122895558,Mussafah,Abu Dhabi,,http://www.alnoorhospital.com/,449056000.0,3922.0,,,,
International Management and Construction Corp.,50835924,PO Box 2739,Abu Dhabi,971-02 5553395,http://www.imcc.ae,2056899900.0,3700.0,,,,
MAPCO L.L.C.,42385970,PO Box 2035,Abu Dhabi,971-02 6783626,http://www.mapcouae.com,1912200000.0,3500.0,,,,
National Drilling Co.,133360913,Po Box 4017,Abu Dhabi,971-02 6776100,http://www.ndc.ae,9448500000.0,3500.0,,,,
Abu Dhabi Gas Industries Limited,42385726,,Abu Dhabi,971-26030000,http://www.gasco.ae,4948799800.0,3500.0,,,,
Gulf Piping Co Wll,133363574,Po Box 2739,Abu Dhabi,25553395,,,3500.0,,,,
Al Nabooda Contracting Company - L L C,123109587,Po Box 52224,Abu Dhabi,25506550,,,3000.0,,,,
Punj Lloyd Ltd,122786515,P.O. Box 28907,Abu Dhabi,26261604,,,3000.0,,,,
Spark Development & Trading,121882883,Po Box 26061,Abu Dhabi,26777522,,,3000.0,,,,
Aecom Middle East Limited. - Abu Dhabi,120029806,Po Box 43266,Abu Dhabi,26134000,http://www.aecom.com,,3000.0,,,,
Armed Forces Officer Club Hotel,122044210,Po Box 29810,Abu Dhabi,24415900,http://www.afoc.mil.ae,,3000.0,,,,
Abu Dhabi Aircraft Technologies PJSC,42385905,Abu Dhabi Aircraft Technologies Building,Abu Dhabi,971-2-5757555,http://www.adat.ae,4041000000.0,3000.0,,,,
Middle East Energy & Industrial Services Company - L L C,123217428,Po Box 519,Abu Dhabi,26442600,,,2800.0,,,,
Abu Dhabi Aircraft Technologies,123283175,Po Box 46450,Abu Dhabi,25757555,,,2800.0,,,,
Freyssinet Middle East - L L C,123249653,Po Box 28752,Abu Dhabi,26422962,,,2700.0,,,,
National Bank of Abu Dhabi,42386005,One National Bank of Abu Dhabi Tower,Abu Dhabi,971-2-6111352,http://www.nbad.com,11185451000.0,2544.0,,,,
Emirates Technical Thermal Systems Company - L L C,122981040,Po Box 43155,Abu Dhabi,6678080,,21200001.0,2500.0,,,,
Abu Dhabi Supplies & Commercial Services Establishment.,122985882,Po Box 768,Abu Dhabi,26767400,,,2500.0,,,,
Tekfen Construction And Installation Company,122044354,Po Box 52237,Abu Dhabi,25591301,,,2500.0,,,,
Al Jaber Signs L.L.C.,124754244,M 20 Plot No 5 12 & 23,Abu Dhabi,971-25553707,http://www.aljaber.com,,2500.0,,,,
Abu Dhabi National Oil Company for Distribution,42385737,PO Box 4188,Abu Dhabi,971-02 6771300,http://www.adnoc-dist.ae,34770602000.0,2500.0,,,,
Voltas Limited,107976552,Po Box 25513,Abu Dhabi,26504511,http://www.voltas.com,,2450.0,,,,
NMC Opticals,124754433,,Abu Dhabi,971-26332255,http://www.nmc.com,,2400.0,,,,
Gulf Contractors Company L.L.C.,42385907,PO Box 45363,Abu Dhabi,971-02 6267510,http://www.gcc.ae,6847899900.0,2400.0,,,,
Abu Dhabi Marine Operating Company,123730292,Po Box 303,Abu Dhabi,26060000,,,2346.0,,,,
Arabian Construction Company SAL - Abu Dhabi,42385779,PO Box 2113,Abu Dhabi,971-02 6771225,http://www.accsal.com,1276800000.0,2300.0,,,,
Kelvin Catering Services (Emirates) Llc,122874181,Po Box 3210,Abu Dhabi,26734780,,,2300.0,,,,
Pal Group Of Companies L L C,122940735,Po Box 34036,Abu Dhabi,28155555,,,2300.0,,,,
Worley Parsons Engineering Pty Limited - Abu Dhabi,121850876,Po Box 44169,Abu Dhabi,26766439,,,2200.0,,,,
Control and Applications Group,120010491,Po Box 3687,Abu Dhabi,971-2-6767-965,http://www.cagroup.ae,,2173.0,,,,
Abu Dhabi Media Company PJSC,104146714,P.O.Box 63,Abu Dhabi,971-2-4144000,http://www.admedia.ae,5260500000.0,2098.0,,,,
Abu Dhabi Media Company Pjsc,133363581,Po Box 63,Abu Dhabi,4144001,,,2000.0,,,,
Western Bainoona Group For General Contracting - Llc,122190613,Po Box 44252,Abu Dhabi,25513222,,,2000.0,,,,
S N C Lavalin International,122873344,Po Box 54130,Abu Dhabi,26445561,,,2000.0,,,,
Abu Dhabi Judicial Department,123278882,P.O. Box 84,Abu Dhabi,26512222,http://www.adjd.gov.ae,,2000.0,,,,
Emirates Telecommunication Corp Ltd,51373208,PO Box 3838,Abu Dhabi,971-2-6283333,http://www.etisalat.ae,48766875000.0,2000.0,,,,
Alsa Engineering & Construction Company Llc,122190616,Po Box 54294,Abu Dhabi,26581551,,,2000.0,,,,
Automatic System Corporation,92460731,Po Box 5297,Abu Dhabi,25511111,http://www.ascorpuae.com,,2000.0,,,,
Emirates Holdings Co.,42385864,PO Box 984,Abu Dhabi,971-02 6447373,http://www.emiratesholdings.com,1110100000.0,2000.0,,,,
Ghantoot Transport & General Contracting L.L.C.,122459681,Po Box 27557,Abu Dhabi,26413388,,,2000.0,,,,
Emirates Aluminum Company Limited P J S,122895537,Po Box 111023,Abu Dhabi,25092222,,,2000.0,,,,
Abu Dhabi - Flight Catering Company - L L C,122920946,Po Box 3167,Abu Dhabi,25757571,,,2000.0,,,,
Agthia Group PJSC,51487650,PO Box 37725,Abu Dhabi,971-2-5960600,http://www.agthia.com,1655067000.0,2000.0,,,,
Bin Jabr Fire Fighting & Safety Equipment Co. - Llc,122895544,Po Box 46711,Abu Dhabi,26418284,,,2000.0,,,,
Thales Geosolutions Overseas,122873529,Po Box 8625,Abu Dhabi,25554817,,347850010.0,2000.0,,,,
Al Jaber Trading L L C,123253308,Po Box 2175,Abu Dhabi,5559559,,,2000.0,,,,
Gulf Dunes Landscaping & Agricultural Services L.L.C.,136967197,,Abu Dhabi,971-2-6677288,http://www.gdlandscapeu.ae,,2000.0,,,,
Ghantout Transporting & General Contracting Establishment,122480700,Po Box 27557,Abu Dhabi,26413388,,,2000.0,,,,
Insulco Emirates Establishment,123278626,Po Box 103,Abu Dhabi,25500025,,34557301.0,2000.0,,,,
Consolidated Contracting Engineering & Procurement Co.-Sal Offshore,123280606,Po Box 224,Abu Dhabi,26276500,,,2000.0,,,,
Abu Dhabi Company For Onshore Oil Operations (Adco),123730294,Po Box 270,Abu Dhabi,26040000,,,1900.0,,,,
Mohammed Bin Masaood and Sons,42385977,PO Box 322,Abu Dhabi,971-02 6722300,http://www.masaood.com,1038000000.0,1900.0,,,,
Keo International Consulants - Abu Dhabi,123262648,Po Box 27594,Abu Dhabi,24173000,,,1900.0,,,,
National Corp. for Tourism and Hotels,44600284,"Airport Road,",Abu Dhabi,971-2-4099999,http://www.ncth.com,781336910.0,1845.0,,,,
Massar Solutions PJSC,140114203,7th Floor Tower 2,Abu Dhabi,971-2-5075000,http://massarsolutions.ae,478810000.0,1813.0,,,,
Ranya General Construction,122940150,Khalifa Street,Abu Dhabi,26773063,,,1800.0,,,,
Abu Dhabi Oil Refining Company,48261561,,Abu Dhabi,971-26027001,http://www.takreer.com,5489799800.0,1800.0,,,,
Abu Dhabi Municipality,123158228,Po Box 263,Abu Dhabi,26788888,http://adm.gov.ae,,1800.0,,,,
Abu Dhabi Polymers Co. Ltd,48960728,"Borouge Tower, Shaikh Khalifa Energy Complex Corniche Road",Abu Dhabi,971-2-6070300,http://www.borouge.com,671900020.0,1700.0,,,,
Al Dhafra Irigation Systems - L L C,123217429,Po Box 127519,Abu Dhabi,26428812,,,1600.0,,,,
Etihad Airport Services - Catering L.L.C.,123158209,Airline Catering Building Abu Dhabi International Airport,Abu Dhabi,25757428,,,1600.0,,,,
Abu Dhabi Airport Services,42385714,PO Box 94449,Abu Dhabi,971-02 5757032,http://www.adac.ae,853299990.0,1520.0,,,,
Abu Dhabi Marine Operating Company,42385731,,Abu Dhabi,971-26060000,http://www.abudhabimargroup.com,4313700200.0,1504.0,,,,
New Marketing & Trading Co Llc,122896036,Po Box 6222,Abu Dhabi,26734300,,,1500.0,,,,
Clientsoft Technology L L C,121848231,Po Box 41777,Abu Dhabi,6216868,,,1500.0,,,,
Technip France,92461395,Po Box 7657,Abu Dhabi,26116000,http://www.technip.com,,1500.0,,,,
UAE Exchange Centre LLC,121745515,,Abu Dhabi,971-43537378,http://www.uaeexchange.com,,1500.0,,,,
Hadeed Emirates Contracting (L.L.C),122874190,Salam Street Behind Salam Hospital,Abu Dhabi,26713416,,,1500.0,,,,
Mousa Industrial Company (Minco),122044252,Po Box 47190,Abu Dhabi,26664227,,,1500.0,,,,
Al Falah Readymix Factory Llc,123280589,Po Box 35090,Abu Dhabi,25511006,,,1500.0,,,,
Transco Abu Dhabi Transmission & Despatch Company,133363770,Po Box 173,Abu Dhabi,26414000,,,1500.0,,,,
National Health Insurance Company - Daman - Pjsc,123284547,Po Box 128888,Abu Dhabi,26149555,,,1500.0,,,,
National Food Products Company Milco WLL,95527444,PO Box 2403,Abu Dhabi,971-2-5582808,http://www.milcodairy.com,2291200000.0,1500.0,,,,
ADMAK General Contracting Company W.L.L.,42385749,,Abu Dhabi,971-2-6264626,http://www.makahara.net,951799990.0,1500.0,,,,
National Marine Dredging PSC,42386017,"Mussafah Industrial Area,",Abu Dhabi,971-2-5130000,http://www.nmdc.com,1629204000.0,1487.0,,,,
First Gulf Bank PJSC,42385885,PO Box 6316,Abu Dhabi,971-2-6816666,http://www.fgb.ae,9261826200.0,1454.0,,,,
Abu Dhabi Company for Onshore Oil Operat,42385719,Abu Dhabi Co fr Onshr Oil Oprtns Bldg,Abu Dhabi,971-2-6040000,http://www.adco.ae,8684700200.0,1450.0,,,,
National Catering Company Llc,123058796,Shiekh Mohammed Bin Butti Al Hamed Building Khalidiyah,Abu Dhabi,26345151,,,1400.0,,,,
Al Habtoor Specon Hastie International Jv (Hsh),123098476,Po Box Procurrement Manager,Abu Dhabi,566037922,,,1400.0,,,,
Almansoori Specialized Engineering,42385969,PO Box 3374,Abu Dhabi,97128157000,http://www.almansoori.biz,756000000.0,1400.0,,,,
Tristar Transport & Contractng,122047946,Po Box 918,Mussafah,25553437,,120000000.0,1400.0,,,,
Emirates Technical Associates L.L.C.,122874207,Po Box 3532,Abu Dhabi,26937222,,,1399.0,,,,
Abu Dhabi Commercial Bank PJSC,42385720,PO Box 939,Abu Dhabi,971-2-6962297,http://www.adcb.com,7855222200.0,1366.0,,,,
Petroleum Services Company - Esnaad - P J S,122373484,Po Box 46121,Abu Dhabi,26029000,,,1355.0,,,,
Larsen & Toubro Limited - Ecc Construction Group - Abu Dhabi,123167912,Po Box 30803,Abu Dhabi,26729136,,,1300.0,,,,
Nael Energy & General Enterprises Establishment - Abu Dhabi Branch,122143897,Po Box 2045,Abu Dhabi,26776757,,,1300.0,,,,
Readymix Beton Establishment,42386052,Po Box 3610,Abu Dhabi,26337580,http://www.readymixbeton.com,,1300.0,,,,
Al Fahim,42385881,Al Fahim Group Building,Abu Dhabi,971-2-6567000,http://www.alfahim.com/,,1300.0,,,,
Abu Dhabi Islamic Bank PJSC,43871889,Abu Dhabi Islamic Bank Building,Abu Dhabi,971-2-6100000,http://www.adib.ae,4632240200.0,1228.0,,,,
Parsons International Limited,92460815,Po Box 5498,Abu Dhabi,26142416,http://www.parsons.com,,1215.0,,,,
Royal Garden Agricultural Contracting Company,123228862,Opposite Star Cement Factory,Abu Dhabi,25500822,,,1213.0,,,,
Zakum Development Company,42386124,PO Box 46808,Abu Dhabi,+9712-6050000,http://zadco.ae/en/Pages/default.aspx,5776200200.0,1200.0,,,,
Bin Salem Group - L L C,133363592,Po Box 7969,Abu Dhabi,24122222,,,1200.0,,,,
Hyundai Engineering & Construction Company,120010398,Po Box 46101,Abu Dhabi,26432865,http://www.en.hdec.kr,,1200.0,,,,
Siemens LLC,46490318,PO Box 47015,Abu Dhabi,971-26165100,http://w1.siemens.com,769200010.0,1200.0,,,,
The Kanoo Group,42385951,Po Box 245,Abu Dhabi,971-2-677-4444,http://www.kanoogroup.com,,1200.0,,,,
Danway Abu Dhabi,42385849,Near Neopharma,Abu Dhabi,971-2-5994444,http://www.danwayllc.com,347500000.0,1200.0,,,,
Agencies & Trading Company,121842832,Po Box 27599,Abu Dhabi,26948384,,,1200.0,,,,
Dhabia Trading Establishment,121843546,Po Box 4875/4192,Abu Dhabi,6904555,,,1200.0,,,,
Electrical Centre,122153217,Po Box 4037,Abu Dhabi,26722400,,,1200.0,,,,
Southern Franchise Company (L.L.C),121851586,Po Box 44145,Abu Dhabi,42868878,,,1200.0,,,,
Dodsal Engineering And Construction Pte. Limited - Abu Dhabi,123167645,Po Box 701,Abu Dhabi,24093812,,,1193.0,,,,
Engineering Maintenance Co.mpany EMCO,42385873,PO Box 3532,Abu Dhabi,971-02 6340600,http://emcouae.com,734099980.0,1150.0,,,,
Abu Dhabi National Energy Company PJSC,50779454,Al Maryah Island,Abu Dhabi,971-2-6914900,http://www.taqaglobal.com,27325000000.0,1119.0,,,,
Galfar Engineering & Contracting -W L L- Uae,123282638,Po Box 72218,Abu Dhabi,25502515,,258000000.0,1100.0,,,,
Ali and Sons Contracting Company L.L.C.,42387135,PO Box 2153,Abu Dhabi,971-02 5546611,http://asc.ali-sons.com,,1100.0,,,,
A B J Industries P J S C,122044422,Po Box 26831,,25130522,,,1100.0,,,,
Aldar Properties PJSC,92498670,"Al Raha Beach,  51133",Abu Dhabi,971-2-8105555,http://www.aldar.com,6551078100.0,1062.0,,,,
Xervon Industrial Services L.L.C.,123046236,Po Box 47616,Abu Dhabi,5587159,,,1060.0,,,,
Saaed For Traffic Systems - L L C,121849462,Po Box 113966,Abu Dhabi,25563333,,,1027.0,,,,
Abu Dhabi General Transport Co.,42708422,PO Box 493,Abu Dhabi,971-02 5555700,,2855800000.0,1000.0,,,,
ESNAAD,42385722,,Abu Dhabi,971-26029000,http://www.esnaad.com,429500000.0,1000.0,,,,
China Petroleum Engineering & Construction Corporation-Abu Dhabi,123262652,Po Box 127345,Abu Dhabi,26789991,,,1000.0,,,,
Seidco General Contracting Company - L L C - Abu Dhabi,123158203,Po Box 44072,Abu Dhabi,26766635,http://www.seidco.net,,1000.0,,,,
NMC Special Medical Services,124754328,,Abu Dhabi,971-26332255,,,1000.0,,,,
Combined Group Contracting Co (K.S.Cc) - Alain,122940152,Po Box 112364,Abu Dhabi,26121999,,,1000.0,,,,
Abu Dhabi National Oil Company (Adnoc),123156938,Po Box 898,Abu Dhabi,6020000,,,,,,,
Kawader Services,121396064,Najda St 11th Fl - Abu Dhabi Islamic Bank Bldg,Abu Dhabi,971-26100900,http://www.kawader.ae,,1000.0,,,,
Khalidiyah Intersystems Company -L L C,121851757,Po Box 46554,Abu Dhabi,26665337,,,1000.0,,,,
Electrolux Maintenance & Commercial Services Ltd,122048050,Tourist Club Area,Abu Dhabi,6764200,,,1000.0,,,,
Technip Abu Dhabi,121662729,31-29 st muroor road holiday day inn,Abu Dhabi,971-26116000,,,1000.0,,,,
Abu Dhabi Investment Authority,102157216,PO Box 3600,Abu Dhabi,971-2-4150000,http://www.adia.ae,618000000.0,1000.0,,,,
NMC Hearing Care Centre,124754331,Airport Road Corner Elektra,Abu Dhabi,971-26332255,,,1000.0,,,,
Oil & Gas Construction Llc,123058503,Po Box 53266,Abu Dhabi,25500300,,138000000.0,1000.0,,,,
Abu Dhabi Authority For Culture And Heritage,123262646,Po Box 2380,Abu Dhabi,26215300,,,1000.0,,,,
Beach Rotana Hotel and Towers,42385717,Po Box 45200,Abu Dhabi,971-02 6979071,http://www.rotana.com,,1000.0,,,,
Al Taif Technical Services PJSC,111192695,Dusit Thani Complex Offices Tower,Abu Dhabi,971-2-4185500,http://www.altaif.ae,,1000.0,,,,
"Smith International Inc.,",122967251,Po Box 47080,Abu Dhabi,25553700,,,1000.0,,,,
Sunshine Tours,121417286,Abu Dhabi National Hotels,Abu Dhabi,971-4446856,,,1000.0,,,,
Global Aerospace Logistics - Llc,123227528,Po Box 128628,Abu Dhabi,5567556,http://www.gal.ae,,,,,,
Al Nasser Industrial Enterprises LLC,100971497,"Falcon Towers, 11th Floor,",Abu Dhabi,971-2-5059160,http://www.anieuae.com,912200010.0,1000.0,,,,
Gulf Piping Company W L L,133360944,Po Box 2739,Abu Dhabi,25553395,,,1000.0,,,,
Mabani Delma General Contracting Co (L.L.C),122895663,Po Box 692,Abu Dhabi,26775949,,,1000.0,,,,
Technical Supplies And Service Co - Tssc,122895662,Investment Park,Abu Dhabi,26768748,,,1000.0,,,,
Wadi Zuhoor General Contracting & Maintenance - L L C,122044449,Al Mussaffah Commercial,Abu Dhabi,501820049,,,1000.0,,,,
William Hare U A E - L L C,122044205,Po Box 9838,Abu Dhabi,25510444,,,1000.0,,,,
Bin Ham Electrical & Mechanical Installations Company - W L L,122896042,Po Box 46844,Abu Dhabi,24444050,,,1000.0,,,,
Union National Bank PJSC,42386106,PO Box 3865,Abu Dhabi,971-2-6741600,http://www.unb.co.ae,3510590100.0,968.0,,,,
Amb Hertel - L L C,122044234,Po Box 113955,Abu Dhabi,25501644,,,950.0,,,,
Valentine Maritime( Gulf) L.L.C.,127936603,Po Box 45877,Abu Dhabi,5555868,,,900.0,,,,
Site Technology Limited Company,121882662,Po Box 44942,Abu Dhabi,26346900,http://www.site-technology.com,,900.0,,,,
Senaat Co,42385895,Etihad Towers 3,Abu Dhabi,971-2-6144444,http://www.ghc.ae/,7343899900.0,900.0,,,,
Farah Leisure Parks Management - L L C,122044387,Po Box 128717,Abu Dhabi,6964444,,,850.0,,,,
Al Foah Company - L L C,123229934,Po Box 18454,Abu Dhabi,34170400,http://www.alfoah.ae,,818.0,,,,
U.T.S Kent - L L C,123227554,Po Box 34826,Abu Dhabi,24013200,,110000000.0,817.0,,,,
Toledo Electrical & Mechanical Works Company - L L C,122044257,Po Box 43542,Abu Dhabi,25550999,,,800.0,,,,
Butec .Co . Abudhabi Bransh,123262650,Po Box 109829,Abu Dhabi,24439869,,,800.0,,,,
United Printing & Publishing - Llc,123284555,Po Box 39955,Abu Dhabi,25039860,,,800.0,,,,
Park Inn Yas Isand Hotel,122044430,Po Box 93725,Abu Dhabi,26562222,,,800.0,,,,
"Hanna Shaikh Holding Company, L.L.C.",122044198,Po Box 693,Abu Dhabi,26772309,,,800.0,,,,
Mission General Services - Llc,122044194,Po Box 38093,Abu Dhabi,,,6613599.8,800.0,,,,
Petrofac Emirates LLC,111088230,PO Box 9398,Abu Dhabi,971-2-8104000,http://www.petrofac.com,226102200.0,800.0,,,,
Aldar Sorouh Properties PJSC,138507073,PO Box 51133,Abu Dhabi,971-2 8105555,http://www.aldar.com,1783552700.0,794.0,,,,
Johnson Controls International - L L C - Abu Dhabi,123284554,Po Box 32905,Abu Dhabi,6262773,,,781.0,,,,
Dorsch Holding Gmbh - Abu Dhabi,50089960,Po Box 26417,Abu Dhabi,26721923,http://www.dorsch.ae,,770.0,,,,
Spinneys Abu Dhabi LLC,42386083,PO Box 243,Abu Dhabi,971-2-5563643,http://www.spinneys-dubai.com/,850700010.0,754.0,,,,
Contracting & Trading Company - C A T,42385839,Po Box 250,Abu Dhabi,26417460,http://www.catgroup.net,,750.0,,,,
Bainounah Power Company,92461560,,Abu Dhabi,971-26731100,http://www.bpc.ae,,750.0,,,,
Litwin Pel Co - Llc,133363773,Po Box 44715,Abu Dhabi,25070100,,,722.0,,,,
Litwin PEL LLC,111088165,44715 Mussaffah,Abu Dhabi,971-2-5070100,http://www.litwinme.ae,,722.0,,,,
Alpha Data L.L.C.,48584162,PO Box 45384,Abu Dhabi,971-02 6333644,http://www.alpha.ae,,700.0,,,,
Contracting And Trading Company,122874200,Po Box 250,Abu Dhabi,26417460,,,700.0,,,,
Beijing Construction Engineering Group Company - Abu Dhabi,123262651,Po Box 127363,Abu Dhabi,46740001,,,700.0,,,,
Universal Voltas L L C,133363586,Po Box 25513,Abu Dhabi,26338920,,,700.0,,,,
Securigaurd Middle East - L L C,123249958,Po Box 73696,Abu Dhabi,26426667,,,700.0,,,,
The Yas Hotel,120029889,Po Box 131808,Abu Dhabi,6560000,http://www.theyashotel.com,,700.0,,,,
Al Rahba Hospital,123228877,Po Box 34555,Abu Dhabi,25064034,,,700.0,,,,
Abu Dhabi Ship Building PJSC,42708423,P.O. Box 8922,Abu Dhabi,971-2-5028000,http://www.adsb.ae,700979980.0,688.0,,,,
Al Theeb Electrical & Mechanical Materials Trading - L L C,123109589,Po Box 25599,Abu Dhabi,25547636,,,670.0,,,,
Abu Dhabi Aviation,42385715,Abu Dhabi International Airport,Abu Dhabi,971-2-5758000,http://www.abudhabiaviation.com/,1611413000.0,653.0,,,,
Liwa Trading Enterprises L.L.C.,42385964,PO Box 45326,Abu Dhabi,971-02 6329600,http://www.liwastores.com,678299990.0,620.0,,,,
National Projects & Construction - L L C,107377822,Po Box 7856,Abu Dhabi,25097200,http://www.npcuae.com,,600.0,,,,
Sts Abu Dhabi Electro-Mechanical Company,123278874,Po Box 111123,Abu Dhabi,24488891,,,600.0,,,,
Gulf Piping Company WLL,103597501,PO Box 2739,Abu Dhabi,971-02 5553395,http://www.imcc.ae,315700010.0,600.0,,,,
Agility ( Abudhabi ) Pjsc,123730649,Po Box 93971,Abu Dhabi,5099599,,,600.0,,,,
Experts Computer Consultants - L L C,122044247,Po Box 54867,Abu Dhabi,26765722,,,600.0,,,,
